category,variable,component,metric,value
component,alice_shifted_argument,0,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,0,chi_square_uniform,225.18779999999995
component,alice_shifted_argument,0,chi_square_df,250
component,alice_shifted_argument,1,samples,10000
component,alice_shifted_argument,1,mean,125.0058
component,alice_shifted_argument,1,distinct_values,251
component,alice_shifted_argument,1,entropy_bits,7.954245622635171
component,alice_shifted_argument,1,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,1,chi_square_uniform,240.74979999999994
component,alice_shifted_argument,1,chi_square_df,250
component,alice_shifted_argument,2,samples,10000
component,alice_shifted_argument,2,mean,124.8809
component,alice_shifted_argument,2,distinct_values,251
component,alice_shifted_argument,2,entropy_bits,7.9515219601833635
component,alice_shifted_argument,2,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,2,chi_square_uniform,278.80139999999983
component,alice_shifted_argument,2,chi_square_df,250
component,alice_shifted_argument,3,samples,10000
component,alice_shifted_argument,3,mean,125.41
component,alice_shifted_argument,3,distinct_values,251
component,alice_shifted_argument,3,entropy_bits,7.953850046991886
component,alice_shifted_argument,3,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,3,chi_square_uniform,244.86619999999994
component,alice_shifted_argument,3,chi_square_df,250
component,alice_shifted_argument,4,samples,10000
component,alice_shifted_argument,4,mean,122.6591
component,alice_shifted_argument,4,distinct_values,251
component,alice_shifted_argument,4,entropy_bits,7.9545867451736605
component,alice_shifted_argument,4,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,4,chi_square_uniform,233.87240000000006
component,alice_shifted_argument,4,chi_square_df,250
component,alice_shifted_argument,5,samples,10000
component,alice_shifted_argument,5,mean,125.6645
component,alice_shifted_argument,5,distinct_values,251
component,alice_shifted_argument,5,entropy_bits,7.954742948657298
component,alice_shifted_argument,5,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,5,chi_square_uniform,234.07319999999993
component,alice_shifted_argument,5,chi_square_df,250
component,alice_shifted_argument,6,samples,10000
component,alice_shifted_argument,6,mean,125.3211
component,alice_shifted_argument,6,distinct_values,251
component,alice_shifted_argument,6,entropy_bits,7.952116651037282
component,alice_shifted_argument,6,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,6,chi_square_uniform,268.0084
component,alice_shifted_argument,6,chi_square_df,250
component,alice_shifted_argument,7,samples,10000
component,alice_shifted_argument,7,mean,124.4108
component,alice_shifted_argument,7,distinct_values,251
component,alice_shifted_argument,7,entropy_bits,7.953119587421306
component,alice_shifted_argument,7,maximum_uniform_entropy_bits,7.971543553950772
component,alice_shifted_argument,7,chi_square_uniform,254.15319999999986
component,alice_shifted_argument,7,chi_square_df,250
octonion,alice_shifted_argument,,mean_component_entropy_bits,7.953681654138174
octonion,alice_shifted_argument,,minimum_component_entropy_bits,7.9515219601833635
octonion,alice_shifted_argument,,maximum_component_entropy_bits,7.955269671005424
octonion,alice_shifted_argument,,mean_component_chi_square,247.46404999999993
