variable,gcd_exponent_250,samples,component,distinct_values,entropy_bits,chi_square_uniform,chi_square_df
alice_power_shifted_input,250,42,6,28,3.9969993529185768,1464.000000000018,250
alice_power_shifted_input,250,42,7,25,3.8541422100614335,1499.8571428571615,250
bob_power_public_input,1,3874,0,251,7.9152022130789605,309.80846670108446,250
bob_power_public_input,1,3874,1,251,7.918430406479094,292.18533815178137,250
bob_power_public_input,1,3874,2,251,7.926298884508013,246.83169850283974,250
bob_power_public_input,1,3874,3,251,7.916311855285844,302.29272070211687,250
bob_power_public_input,1,3874,4,251,7.919251869168534,287.77955601445547,250
bob_power_public_input,1,3874,5,251,7.920736941220114,274.3030459473414,250
bob_power_public_input,1,3874,6,251,7.9219976509514245,261.4744450180696,250
bob_power_public_input,1,3874,7,251,7.920039861885623,292.31491997935,250
bob_power_public_input,2,4081,0,251,7.923805070083814,268.1700563587355,250
bob_power_public_input,2,4081,1,251,7.857129898240053,1290.9904435187511,250
bob_power_public_input,2,4081,2,251,7.844990631037602,1378.6959078657237,250
bob_power_public_input,2,4081,3,251,7.855300159221425,1373.8985542759176,250
bob_power_public_input,2,4081,4,251,7.863034855233645,1233.2991913746664,250
bob_power_public_input,2,4081,5,251,7.8598053537964025,1289.3913256554813,250
bob_power_public_input,2,4081,6,251,7.854130964298176,1307.350649350654,250
bob_power_public_input,2,4081,7,251,7.85612603227133,1254.2107326635664,250
bob_power_public_input,5,861,0,245,7.735896651216465,280.30662020905976,250
bob_power_public_input,5,861,1,250,7.724854611587146,390.50174216027807,250
bob_power_public_input,5,861,2,246,7.7304456916979785,331.61440185830463,250
bob_power_public_input,5,861,3,241,7.700354006759428,349.1056910569105,250
bob_power_public_input,5,861,4,246,7.742653257747773,302.46225319396126,250
bob_power_public_input,5,861,5,241,7.691563070570578,359.01742160278803,250
bob_power_public_input,5,861,6,244,7.7160097119842455,355.519163763066,250
bob_power_public_input,5,861,7,245,7.73886966241856,312.957026713125,250
bob_power_public_input,10,795,0,228,7.592731969809355,386.7522012578621,250
bob_power_public_input,10,795,1,241,7.628985374039008,536.4050314465409,250
bob_power_public_input,10,795,2,237,7.6089537216247995,569.871698113207,250
bob_power_public_input,10,795,3,238,7.595724851373473,601.4440251572317,250
bob_power_public_input,10,795,4,241,7.650379959378149,510.5157232704404,250
bob_power_public_input,10,795,5,239,7.6296123731924785,553.4540880503135,250
bob_power_public_input,10,795,6,240,7.625250957220601,595.7610062893067,250
bob_power_public_input,10,795,7,241,7.635668896704276,552.1911949685526,250
bob_power_public_input,25,156,0,99,6.35769684510964,481.15384615384875,250
bob_power_public_input,25,156,1,111,6.603967843709707,346.0000000000015,250
bob_power_public_input,25,156,2,118,6.676468126171935,349.21794871795004,250
bob_power_public_input,25,156,3,111,6.603967843709707,346.00000000000074,250
bob_power_public_input,25,156,4,108,6.5350262571573765,384.61538461538504,250
bob_power_public_input,25,156,5,111,6.584611753910644,358.87179487179606,250
bob_power_public_input,25,156,6,110,6.592843885417981,349.2179487179496,250
bob_power_public_input,25,156,7,114,6.642429382171246,336.34615384615427,250
bob_power_public_input,50,162,0,78,5.809180154449146,845.0987654320953,250
bob_power_public_input,50,162,1,116,6.504520913178117,662.2716049382655,250
bob_power_public_input,50,162,2,115,6.501877590491117,625.0864197530815,250
bob_power_public_input,50,162,3,108,6.396435882287211,693.2592592592518,250
bob_power_public_input,50,162,4,110,6.404121761903487,699.4567901234495,250
bob_power_public_input,50,162,5,115,6.48285563537363,671.5679012345608,250
bob_power_public_input,50,162,6,117,6.534254828132082,612.6913580246869,250
bob_power_public_input,50,162,7,112,6.477186232466425,625.0864197530815,250
bob_power_public_input,125,38,0,20,3.797416579791907,939.5789473684242,250
bob_power_public_input,125,38,1,26,4.063202513215852,1098.105263157884,250
bob_power_public_input,125,38,2,26,4.141249939627526,966.0000000000027,250
bob_power_public_input,125,38,3,26,4.141249939627526,966.0000000000027,250
bob_power_public_input,125,38,4,27,4.193881518574894,952.7894736842131,250
