candidate,norm,count,relative_frequency,expected_uniform_count
2,221,45,0.0045,39.8406374501992
2,222,28,0.0028,39.8406374501992
2,223,41,0.0041,39.8406374501992
2,224,52,0.0052,39.8406374501992
2,225,35,0.0035,39.8406374501992
2,226,31,0.0031,39.8406374501992
2,227,33,0.0033,39.8406374501992
2,228,35,0.0035,39.8406374501992
2,229,46,0.0046,39.8406374501992
2,230,43,0.0043,39.8406374501992
2,231,48,0.0048,39.8406374501992
2,232,40,0.004,39.8406374501992
2,233,44,0.0044,39.8406374501992
2,234,41,0.0041,39.8406374501992
2,235,39,0.0039,39.8406374501992
2,236,53,0.0053,39.8406374501992
2,237,37,0.0037,39.8406374501992
2,238,28,0.0028,39.8406374501992
2,239,41,0.0041,39.8406374501992
2,240,37,0.0037,39.8406374501992
2,241,48,0.0048,39.8406374501992
2,242,42,0.0042,39.8406374501992
2,243,30,0.003,39.8406374501992
2,244,40,0.004,39.8406374501992
2,245,46,0.0046,39.8406374501992
2,246,39,0.0039,39.8406374501992
2,247,47,0.0047,39.8406374501992
2,248,42,0.0042,39.8406374501992
2,249,35,0.0035,39.8406374501992
2,250,52,0.0052,39.8406374501992
3,0,29,0.0029,39.8406374501992
3,1,42,0.0042,39.8406374501992
3,2,40,0.004,39.8406374501992
3,3,39,0.0039,39.8406374501992
3,4,37,0.0037,39.8406374501992
3,5,55,0.0055,39.8406374501992
3,6,42,0.0042,39.8406374501992
3,7,37,0.0037,39.8406374501992
3,8,38,0.0038,39.8406374501992
3,9,34,0.0034,39.8406374501992
3,10,39,0.0039,39.8406374501992
3,11,39,0.0039,39.8406374501992
3,12,43,0.0043,39.8406374501992
3,13,41,0.0041,39.8406374501992
3,14,31,0.0031,39.8406374501992
3,15,43,0.0043,39.8406374501992
3,16,38,0.0038,39.8406374501992
3,17,40,0.004,39.8406374501992
3,18,47,0.0047,39.8406374501992
3,19,29,0.0029,39.8406374501992
3,20,36,0.0036,39.8406374501992
3,21,31,0.0031,39.8406374501992
3,22,34,0.0034,39.8406374501992
3,23,45,0.0045,39.8406374501992
3,24,54,0.0054,39.8406374501992
3,25,39,0.0039,39.8406374501992
3,26,38,0.0038,39.8406374501992
3,27,45,0.0045,39.8406374501992
3,28,35,0.0035,39.8406374501992
3,29,29,0.0029,39.8406374501992
3,30,46,0.0046,39.8406374501992
3,31,39,0.0039,39.8406374501992
3,32,44,0.0044,39.8406374501992
3,33,25,0.0025,39.8406374501992
3,34,44,0.0044,39.8406374501992
3,35,36,0.0036,39.8406374501992
3,36,46,0.0046,39.8406374501992
3,37,34,0.0034,39.8406374501992
3,38,30,0.003,39.8406374501992
3,39,38,0.0038,39.8406374501992
3,40,35,0.0035,39.8406374501992
3,41,32,0.0032,39.8406374501992
3,42,37,0.0037,39.8406374501992
3,43,46,0.0046,39.8406374501992
3,44,42,0.0042,39.8406374501992
3,45,46,0.0046,39.8406374501992
3,46,39,0.0039,39.8406374501992
3,47,38,0.0038,39.8406374501992
3,48,40,0.004,39.8406374501992
3,49,45,0.0045,39.8406374501992
3,50,32,0.0032,39.8406374501992
3,51,39,0.0039,39.8406374501992
3,52,34,0.0034,39.8406374501992
3,53,38,0.0038,39.8406374501992
3,54,40,0.004,39.8406374501992
3,55,28,0.0028,39.8406374501992
3,56,42,0.0042,39.8406374501992
3,57,45,0.0045,39.8406374501992
3,58,36,0.0036,39.8406374501992
3,59,66,0.0066,39.8406374501992
3,60,41,0.0041,39.8406374501992
3,61,48,0.0048,39.8406374501992
3,62,51,0.0051,39.8406374501992
